Frame,Boundary,Phase,Speed,GammaFreq,GammaAmp,MasterFreq,PosX,PosY,PosZ,ThetaBeta,ThetaGamma,ThetaZeta,ThetaPsi,ThetaPhi
110,,0.166667,2.000000,5.500000,50.000000,5.500000,-0.061253,2.894739,6.110761,15.000000,53.301270,-2.500000,8.660254,-24.722432
111,,0.168182,2.000000,5.500000,50.000000,5.500000,-0.063437,2.895444,6.112740,14.998471,54.550326,-2.269952,8.910065,-25.147111
112,,0.169697,2.000000,5.500000,50.000000,5.500000,-0.065622,2.896148,6.114718,14.993883,55.677273,-2.033683,9.135455,-25.530273
113,,0.171212,2.000000,5.500000,50.000000,5.500000,-0.067808,2.896852,6.116695,14.986238,56.679021,-1.791840,9.335804,-25.870867
114,,0.172727,2.000000,5.500000,50.000000,5.500000,-0.069995,2.897555,6.118671,14.975537,57.552826,-1.545085,9.510565,-26.167961
115,,0.174242,2.000000,5.500000,50.000000,5.500000,-0.072183,2.898258,6.120647,14.961782,58.296291,-1.294095,9.659258,-26.420739
116,,0.175758,2.000000,5.500000,50.000000,5.500000,-0.074371,2.898961,6.122621,14.944976,58.907380,-1.039558,9.781476,-26.628509
117,,0.177273,2.000000,5.500000,50.000000,5.500000,-0.076561,2.899663,6.124595,14.925123,59.384417,-0.782172,9.876883,-26.790702
118,,0.178788,2.000000,5.500000,50.000000,5.500000,-0.078752,2.900365,6.126567,14.902226,59.726095,-0.522642,9.945219,-26.906872
119,,0.180303,2.000000,5.500000,50.000000,5.500000,-0.080943,2.901067,6.128539,14.876291,59.931477,-0.261680,9.986295,-26.976702
120,YES,0.000000,2.000000,6.500000,60.000000,6.500000,-0.083136,2.901769,6.130509,0.000000,80.000000,0.000000,19.993293,-44.988263
121,,0.001515,2.000000,6.500000,60.000000,6.500000,-0.085329,2.902470,6.132479,0.481697,69.885163,0.463699,14.967944,-35.944380
122,,0.003030,2.000000,6.500000,60.000000,6.500000,-0.087523,2.903170,6.134448,0.963172,69.541092,0.925623,14.881945,-35.795316
123,,0.004545,2.000000,6.500000,60.000000,6.500000,-0.089719,2.903870,6.136416,1.444206,68.969104,1.384004,14.738980,-35.547511
124,,0.006061,2.000000,6.500000,60.000000,6.500000,-0.091915,2.904570,6.138384,1.924578,68.171389,1.837087,14.539596,-35.201912
125,,0.007576,2.000000,6.500000,60.000000,6.500000,-0.094112,2.905270,6.140350,2.404067,67.150999,2.283138,14.284556,-34.759843
126,,0.009091,2.000000,6.500000,60.000000,6.500000,-0.096310,2.905969,6.142315,2.882454,65.911842,2.720449,13.974835,-34.222996
127,,0.010606,2.000000,6.500000,60.000000,6.500000,-0.098508,2.906668,6.144280,3.359518,64.458660,3.147347,13.611621,-33.593426
128,,0.012121,2.000000,6.500000,60.000000,6.500000,-0.100708,2.907367,6.146244,3.835042,62.797015,3.562197,13.196303,-32.873543
